F:\beta_simulator_windows\beta_simulator_Data\IMG\center_2019_07_02_08_49_36_541.jpg,F:\beta_simulator_windows\beta_simulator_Data\IMG\left_2019_07_02_08_49_36_541.jpg,F:\beta_simulator_windows\beta_simulator_Data\IMG\right_2019_07_02_08_49_36_541.jpg,0,0,0,0.00153083
F:\beta_simulator_windows\beta_simulator_Data\IMG\center_2019_07_02_08_49_36_612.jpg,F:\beta_simulator_windows\beta_simulator_Data\IMG\left_2019_07_02_08_49_36_612.jpg,F:\beta_simulator_windows\beta_simulator_Data\IMG\right_2019_07_02_08_49_36_612.jpg,0,0,0,0.001177951
F:\beta_simulator_windows\beta_simulator_Data\IMG\center_2019_07_02_08_49_36_746.jpg,F:\beta_simulator_windows\beta_simulator_Data\IMG\left_2019_07_02_08_49_36_746.jpg,F:\beta_simulator_windows\beta_simulator_Data\IMG\right_2019_07_02_08_49_36_746.jpg,0,0,0,0.006366037
F:\beta_simulator_windows\beta_simulator_Data\IMG\center_2019_07_02_08_49_36_859.jpg,F:\beta_simulator_windows\beta_simulator_Data\IMG\left_2019_07_02_08_49_36_859.jpg,F:\beta_simulator_windows\beta_simulator_Data\IMG\right_2019_07_02_08_49_36_859.jpg,0,0,0,0.001351033
F:\beta_simulator_windows\beta_simulator_Data\IMG\center_2019_07_02_08_49_36_976.jpg,F:\beta_simulator_windows\beta_simulator_Data\IMG\left_2019_07_02_08_49_36_976.jpg,F:\beta_simulator_windows\beta_simulator_Data\IMG\right_2019_07_02_08_49_36_976.jpg,0,0,0,0.004394692
F:\beta_simulator_windows\beta_simulator_Data\IMG\center_2019_07_02_08_49_37_109.jpg,F:\beta_simulator_windows\beta_simulator_Data\IMG\left_2019_07_02_08_49_37_109.jpg,F:\beta_simulator_windows\beta_simulator_Data\IMG\right_2019_07_02_08_49_37_109.jpg,0,0,0,0.002182487
F:\beta_simulator_windows\beta_simulator_Data\IMG\center_2019_07_02_08_49_37_179.jpg,F:\beta_simulator_windows\beta_simulator_Data\IMG\left_2019_07_02_08_49_37_179.jpg,F:\beta_simulator_windows\beta_simulator_Data\IMG\right_2019_07_02_08_49_37_179.jpg,0,0,0,0.0008425889
F:\beta_simulator_windows\beta_simulator_Data\IMG\center_2019_07_02_08_49_37_302.jpg,F:\beta_simulator_windows\beta_simulator_Data\IMG\left_2019_07_02_08_49_37_302.jpg,F:\beta_simulator_windows\beta_simulator_Data\IMG\right_2019_07_02_08_49_37_302.jpg,0,0,0,0.006369981
F:\beta_simulator_windows\beta_simulator_Data\IMG\center_2019_07_02_08_49_37_388.jpg,F:\beta_simulator_windows\beta_simulator_Data\IMG\left_2019_07_02_08_49_37_388.jpg,F:\beta_simulator_windows\beta_simulator_Data\IMG\right_2019_07_02_08_49_37_388.jpg,0,0,0,0.009748638
F:\beta_simulator_windows\beta_simulator_Data\IMG\center_2019_07_02_08_49_37_504.jpg,F:\beta_simulator_windows\beta_simulator_Data\IMG\left_2019_07_02_08_49_37_504.jpg,F:\beta_simulator_windows\beta_simulator_Data\IMG\right_2019_07_02_08_49_37_504.jpg,0,0,0,0.005786876
